"AverageBV" "Cohorts" "TimeP" "Traits" "Cohort_Rept" "Cohort_Rept_ID" "Cohort_Rept_Com"
93.084465325671 "BC-Bulls" 0 "RZE (exterior)" "BC-Bulls" 0 "BC-Bulls"
95.3723179697489 "BC-Cows" 0 "RZE (exterior)" "BC-Cows" 0 "BC-Cows"
92.8584635030246 "BC-Cows" 1 "RZE (exterior)" "BC-Cows" 0 "BC-Cows"
91.8235314541054 "BC-Cows" 2 "RZE (exterior)" "BC-Cows" 0 "BC-Cows"
91.6809385671912 "BC-Cows" 3 "RZE (exterior)" "BC-Cows" 0 "BC-Cows"
91.7262339038588 "BC-Cows" 4 "RZE (exterior)" "BC-Cows" 0 "BC-Cows"
92.5589762380668 "BC-NextBulls" 9 "RZE (exterior)" "BC-NextBulls" 0 "BC-NextBulls"
95.4311985969171 "BC-NextBulls_1" 14 "RZE (exterior)" "BC-NextBulls_1" 1 "BC-NextBulls"
93.2461873093913 "BC-NextBulls_2" 19 "RZE (exterior)" "BC-NextBulls_2" 2 "BC-NextBulls"
98.3991873150785 "BC-NextBulls_3" 24 "RZE (exterior)" "BC-NextBulls_3" 3 "BC-NextBulls"
99.8606219257069 "BC-NextBulls_4" 2 "RZE (exterior)" "BC-NextBulls_4" 4 "BC-NextBulls"
99.2627953168453 "BC-NextBulls_5" 7 "RZE (exterior)" "BC-NextBulls_5" 5 "BC-NextBulls"
100.232180924385 "BC-NextBulls_6" 12 "RZE (exterior)" "BC-NextBulls_6" 6 "BC-NextBulls"
100.775197522121 "BC-NextBulls_7" 17 "RZE (exterior)" "BC-NextBulls_7" 7 "BC-NextBulls"
105.475244929335 "BC-NextBulls_8" 22 "RZE (exterior)" "BC-NextBulls_8" 8 "BC-NextBulls"
104.745947642365 "BC-NextBulls_9" 0 "RZE (exterior)" "BC-NextBulls_9" 9 "BC-NextBulls"
105.431695847799 "BC-NextBulls_10" 5 "RZE (exterior)" "BC-NextBulls_10" 10 "BC-NextBulls"
107.753317881221 "BC-NextBulls_11" 10 "RZE (exterior)" "BC-NextBulls_11" 11 "BC-NextBulls"
106.057802251223 "BC-NextBulls_12" 15 "RZE (exterior)" "BC-NextBulls_12" 12 "BC-NextBulls"
105.366393564313 "BC-NextBulls_13" 20 "RZE (exterior)" "BC-NextBulls_13" 13 "BC-NextBulls"
106.581952965908 "BC-NextBulls_14" 25 "RZE (exterior)" "BC-NextBulls_14" 14 "BC-NextBulls"
108.307565042834 "BC-NextBulls_15" 3 "RZE (exterior)" "BC-NextBulls_15" 15 "BC-NextBulls"
108.498043511338 "BC-NextBulls_16" 8 "RZE (exterior)" "BC-NextBulls_16" 16 "BC-NextBulls"
109.601889455144 "BC-NextBulls_17" 13 "RZE (exterior)" "BC-NextBulls_17" 17 "BC-NextBulls"
107.644687780332 "BC-NextBulls_18" 18 "RZE (exterior)" "BC-NextBulls_18" 18 "BC-NextBulls"
109.513989598843 "BC-NextBulls_19" 23 "RZE (exterior)" "BC-NextBulls_19" 19 "BC-NextBulls"
110.627847872841 "BC-NextBulls_20" 1 "RZE (exterior)" "BC-NextBulls_20" 20 "BC-NextBulls"
110.071786298022 "BC-NextBulls_21" 6 "RZE (exterior)" "BC-NextBulls_21" 21 "BC-NextBulls"
111.65942912173 "BC-NextBulls_22" 11 "RZE (exterior)" "BC-NextBulls_22" 22 "BC-NextBulls"
113.893220699598 "BC-NextBulls_23" 16 "RZE (exterior)" "BC-NextBulls_23" 23 "BC-NextBulls"
117.60679179739 "BC-NextBulls_24" 21 "RZE (exterior)" "BC-NextBulls_24" 24 "BC-NextBulls"
116.132622056463 "BC-NextBulls_25" 26 "RZE (exterior)" "BC-NextBulls_25" 25 "BC-NextBulls"
91.4950008107417 "BC-NextCows" 5 "RZE (exterior)" "BC-NextCows" 0 "BC-NextCows"
92.0413208315401 "BC-NextCows" 6 "RZE (exterior)" "BC-NextCows" 0 "BC-NextCows"
91.7753922893222 "BC-NextCows" 7 "RZE (exterior)" "BC-NextCows" 0 "BC-NextCows"
92.0987727598647 "BC-NextCows" 8 "RZE (exterior)" "BC-NextCows" 0 "BC-NextCows"
91.4654093052598 "BC-NextCows" 9 "RZE (exterior)" "BC-NextCows" 0 "BC-NextCows"
94.929614867487 "BC-NextCows_1" 10 "RZE (exterior)" "BC-NextCows_1" 1 "BC-NextCows"
94.5795481267251 "BC-NextCows_1" 11 "RZE (exterior)" "BC-NextCows_1" 1 "BC-NextCows"
94.3744983154206 "BC-NextCows_1" 12 "RZE (exterior)" "BC-NextCows_1" 1 "BC-NextCows"
95.4249169779153 "BC-NextCows_1" 13 "RZE (exterior)" "BC-NextCows_1" 1 "BC-NextCows"
94.664097771793 "BC-NextCows_1" 14 "RZE (exterior)" "BC-NextCows_1" 1 "BC-NextCows"
95.1955790268977 "BC-NextCows_2" 15 "RZE (exterior)" "BC-NextCows_2" 2 "BC-NextCows"
95.2850365928465 "BC-NextCows_2" 16 "RZE (exterior)" "BC-NextCows_2" 2 "BC-NextCows"
96.0026826094104 "BC-NextCows_2" 17 "RZE (exterior)" "BC-NextCows_2" 2 "BC-NextCows"
94.9713500114209 "BC-NextCows_2" 18 "RZE (exterior)" "BC-NextCows_2" 2 "BC-NextCows"
94.859753985649 "BC-NextCows_2" 19 "RZE (exterior)" "BC-NextCows_2" 2 "BC-NextCows"
96.4555512352344 "BC-NextCows_3" 20 "RZE (exterior)" "BC-NextCows_3" 3 "BC-NextCows"
96.6655284519581 "BC-NextCows_3" 21 "RZE (exterior)" "BC-NextCows_3" 3 "BC-NextCows"
96.777583257324 "BC-NextCows_3" 22 "RZE (exterior)" "BC-NextCows_3" 3 "BC-NextCows"
97.4722032537748 "BC-NextCows_3" 23 "RZE (exterior)" "BC-NextCows_3" 3 "BC-NextCows"
98.5881845782471 "BC-NextCows_3" 24 "RZE (exterior)" "BC-NextCows_3" 3 "BC-NextCows"
100.597250061797 "BC-NextCows_4" 0 "RZE (exterior)" "BC-NextCows_4" 4 "BC-NextCows"
99.1057140706582 "BC-NextCows_4" 1 "RZE (exterior)" "BC-NextCows_4" 4 "BC-NextCows"
99.7101203445481 "BC-NextCows_4" 2 "RZE (exterior)" "BC-NextCows_4" 4 "BC-NextCows"
101.526303275225 "BC-NextCows_4" 25 "RZE (exterior)" "BC-NextCows_4" 4 "BC-NextCows"
99.3870072601909 "BC-NextCows_4" 26 "RZE (exterior)" "BC-NextCows_4" 4 "BC-NextCows"
99.1343929184502 "BC-NextCows_5" 3 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
100.0392942848 "BC-NextCows_5" 4 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
99.7988052504795 "BC-NextCows_5" 5 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
99.9992482103254 "BC-NextCows_5" 6 "RZE (exterior)" "BC-NextCows_5" 5 "BC-NextCows"
