"AverageBV" "Cohorts" "TimeP" "Traits" "Cohort_Rept" "Cohort_Rept_ID" "Cohort_Rept_Com"
98.0142476607802 "BC-Bulls" 0 "RZKm (calving traits)" "BC-Bulls" 0 "BC-Bulls"
98.4768144920838 "BC-Cows" 0 "RZKm (calving traits)" "BC-Cows" 0 "BC-Cows"
97.993590601326 "BC-Cows" 1 "RZKm (calving traits)" "BC-Cows" 0 "BC-Cows"
97.7030424582295 "BC-Cows" 2 "RZKm (calving traits)" "BC-Cows" 0 "BC-Cows"
98.2652004212575 "BC-Cows" 3 "RZKm (calving traits)" "BC-Cows" 0 "BC-Cows"
97.9442686861369 "BC-Cows" 4 "RZKm (calving traits)" "BC-Cows" 0 "BC-Cows"
96.7748282697446 "BC-NextBulls" 9 "RZKm (calving traits)" "BC-NextBulls" 0 "BC-NextBulls"
96.4764167009853 "BC-NextBulls_1" 14 "RZKm (calving traits)" "BC-NextBulls_1" 1 "BC-NextBulls"
100.140397830471 "BC-NextBulls_2" 19 "RZKm (calving traits)" "BC-NextBulls_2" 2 "BC-NextBulls"
99.9813699658987 "BC-NextBulls_3" 24 "RZKm (calving traits)" "BC-NextBulls_3" 3 "BC-NextBulls"
99.7026764121457 "BC-NextBulls_4" 2 "RZKm (calving traits)" "BC-NextBulls_4" 4 "BC-NextBulls"
100.235932568859 "BC-NextBulls_5" 7 "RZKm (calving traits)" "BC-NextBulls_5" 5 "BC-NextBulls"
100.621312781639 "BC-NextBulls_6" 12 "RZKm (calving traits)" "BC-NextBulls_6" 6 "BC-NextBulls"
99.8149384939629 "BC-NextBulls_7" 17 "RZKm (calving traits)" "BC-NextBulls_7" 7 "BC-NextBulls"
96.4868858003062 "BC-NextBulls_8" 22 "RZKm (calving traits)" "BC-NextBulls_8" 8 "BC-NextBulls"
97.0693484582966 "BC-NextBulls_9" 0 "RZKm (calving traits)" "BC-NextBulls_9" 9 "BC-NextBulls"
94.3262340883133 "BC-NextBulls_10" 5 "RZKm (calving traits)" "BC-NextBulls_10" 10 "BC-NextBulls"
95.4117395992485 "BC-NextBulls_11" 10 "RZKm (calving traits)" "BC-NextBulls_11" 11 "BC-NextBulls"
93.4533650184427 "BC-NextBulls_12" 15 "RZKm (calving traits)" "BC-NextBulls_12" 12 "BC-NextBulls"
93.4028665349404 "BC-NextBulls_13" 20 "RZKm (calving traits)" "BC-NextBulls_13" 13 "BC-NextBulls"
94.0135108008461 "BC-NextBulls_14" 25 "RZKm (calving traits)" "BC-NextBulls_14" 14 "BC-NextBulls"
93.4658370970777 "BC-NextBulls_15" 3 "RZKm (calving traits)" "BC-NextBulls_15" 15 "BC-NextBulls"
94.1248165724184 "BC-NextBulls_16" 8 "RZKm (calving traits)" "BC-NextBulls_16" 16 "BC-NextBulls"
94.6363606579153 "BC-NextBulls_17" 13 "RZKm (calving traits)" "BC-NextBulls_17" 17 "BC-NextBulls"
95.4976480258834 "BC-NextBulls_18" 18 "RZKm (calving traits)" "BC-NextBulls_18" 18 "BC-NextBulls"
95.6593935389404 "BC-NextBulls_19" 23 "RZKm (calving traits)" "BC-NextBulls_19" 19 "BC-NextBulls"
