"AverageBV" "Cohorts" "TimeP" "Traits" "Cohort_Rept" "Cohort_Rept_ID" "Cohort_Rept_Com"
76.6759486241009 "BC-Bulls" 0 "RZM (Milk)" "BC-Bulls" 0 "BC-Bulls"
78.3265059971886 "BC-Cows" 0 "RZM (Milk)" "BC-Cows" 0 "BC-Cows"
77.4968007348029 "BC-Cows" 1 "RZM (Milk)" "BC-Cows" 0 "BC-Cows"
77.3930179379097 "BC-Cows" 2 "RZM (Milk)" "BC-Cows" 0 "BC-Cows"
77.78167990173 "BC-Cows" 3 "RZM (Milk)" "BC-Cows" 0 "BC-Cows"
77.6831372546591 "BC-Cows" 4 "RZM (Milk)" "BC-Cows" 0 "BC-Cows"
77.05305380751 "BC-NextBulls" 9 "RZM (Milk)" "BC-NextBulls" 0 "BC-NextBulls"
80.7687635199298 "BC-NextBulls_1" 14 "RZM (Milk)" "BC-NextBulls_1" 1 "BC-NextBulls"
88.1694235251033 "BC-NextBulls_2" 19 "RZM (Milk)" "BC-NextBulls_2" 2 "BC-NextBulls"
93.5777776184571 "BC-NextBulls_3" 24 "RZM (Milk)" "BC-NextBulls_3" 3 "BC-NextBulls"
100.612006895044 "BC-NextBulls_4" 2 "RZM (Milk)" "BC-NextBulls_4" 4 "BC-NextBulls"
106.969196198036 "BC-NextBulls_5" 7 "RZM (Milk)" "BC-NextBulls_5" 5 "BC-NextBulls"
113.659317930877 "BC-NextBulls_6" 12 "RZM (Milk)" "BC-NextBulls_6" 6 "BC-NextBulls"
117.282000134388 "BC-NextBulls_7" 17 "RZM (Milk)" "BC-NextBulls_7" 7 "BC-NextBulls"
121.606907444551 "BC-NextBulls_8" 22 "RZM (Milk)" "BC-NextBulls_8" 8 "BC-NextBulls"
127.542308495116 "BC-NextBulls_9" 0 "RZM (Milk)" "BC-NextBulls_9" 9 "BC-NextBulls"
132.170621060365 "BC-NextBulls_10" 5 "RZM (Milk)" "BC-NextBulls_10" 10 "BC-NextBulls"
134.308097888417 "BC-NextBulls_11" 10 "RZM (Milk)" "BC-NextBulls_11" 11 "BC-NextBulls"
139.435809320365 "BC-NextBulls_12" 15 "RZM (Milk)" "BC-NextBulls_12" 12 "BC-NextBulls"
143.848142823311 "BC-NextBulls_13" 20 "RZM (Milk)" "BC-NextBulls_13" 13 "BC-NextBulls"
147.811120408652 "BC-NextBulls_14" 25 "RZM (Milk)" "BC-NextBulls_14" 14 "BC-NextBulls"
153.715703593723 "BC-NextBulls_15" 3 "RZM (Milk)" "BC-NextBulls_15" 15 "BC-NextBulls"
158.245606685016 "BC-NextBulls_16" 8 "RZM (Milk)" "BC-NextBulls_16" 16 "BC-NextBulls"
161.936375205871 "BC-NextBulls_17" 13 "RZM (Milk)" "BC-NextBulls_17" 17 "BC-NextBulls"
167.152187944127 "BC-NextBulls_18" 18 "RZM (Milk)" "BC-NextBulls_18" 18 "BC-NextBulls"
172.328459213864 "BC-NextBulls_19" 23 "RZM (Milk)" "BC-NextBulls_19" 19 "BC-NextBulls"
175.701151293403 "BC-NextBulls_20" 1 "RZM (Milk)" "BC-NextBulls_20" 20 "BC-NextBulls"
182.112638548101 "BC-NextBulls_21" 6 "RZM (Milk)" "BC-NextBulls_21" 21 "BC-NextBulls"
186.592053585717 "BC-NextBulls_22" 11 "RZM (Milk)" "BC-NextBulls_22" 22 "BC-NextBulls"
190.689736547574 "BC-NextBulls_23" 16 "RZM (Milk)" "BC-NextBulls_23" 23 "BC-NextBulls"
194.087265465784 "BC-NextBulls_24" 21 "RZM (Milk)" "BC-NextBulls_24" 24 "BC-NextBulls"
198.501227592244 "BC-NextBulls_25" 26 "RZM (Milk)" "BC-NextBulls_25" 25 "BC-NextBulls"
75.8739124172331 "BC-NextCows" 5 "RZM (Milk)" "BC-NextCows" 0 "BC-NextCows"
76.4475612457619 "BC-NextCows" 6 "RZM (Milk)" "BC-NextCows" 0 "BC-NextCows"
77.6532960625738 "BC-NextCows" 7 "RZM (Milk)" "BC-NextCows" 0 "BC-NextCows"
76.7635269177843 "BC-NextCows" 8 "RZM (Milk)" "BC-NextCows" 0 "BC-NextCows"
78.6124016081767 "BC-NextCows" 9 "RZM (Milk)" "BC-NextCows" 0 "BC-NextCows"
80.5271186608744 "BC-NextCows_1" 10 "RZM (Milk)" "BC-NextCows_1" 1 "BC-NextCows"
81.4577384175482 "BC-NextCows_1" 11 "RZM (Milk)" "BC-NextCows_1" 1 "BC-NextCows"
81.5802648593087 "BC-NextCows_1" 12 "RZM (Milk)" "BC-NextCows_1" 1 "BC-NextCows"
80.017796730941 "BC-NextCows_1" 13 "RZM (Milk)" "BC-NextCows_1" 1 "BC-NextCows"
79.4642346432275 "BC-NextCows_1" 14 "RZM (Milk)" "BC-NextCows_1" 1 "BC-NextCows"
87.6499166542803 "BC-NextCows_2" 15 "RZM (Milk)" "BC-NextCows_2" 2 "BC-NextCows"
88.0862719614741 "BC-NextCows_2" 16 "RZM (Milk)" "BC-NextCows_2" 2 "BC-NextCows"
88.0170721877159 "BC-NextCows_2" 17 "RZM (Milk)" "BC-NextCows_2" 2 "BC-NextCows"
87.348050729779 "BC-NextCows_2" 18 "RZM (Milk)" "BC-NextCows_2" 2 "BC-NextCows"
86.7200852260376 "BC-NextCows_2" 19 "RZM (Milk)" "BC-NextCows_2" 2 "BC-NextCows"
93.2055636983182 "BC-NextCows_3" 20 "RZM (Milk)" "BC-NextCows_3" 3 "BC-NextCows"
94.0065832655912 "BC-NextCows_3" 21 "RZM (Milk)" "BC-NextCows_3" 3 "BC-NextCows"
92.5052578440125 "BC-NextCows_3" 22 "RZM (Milk)" "BC-NextCows_3" 3 "BC-NextCows"
92.9175412302641 "BC-NextCows_3" 23 "RZM (Milk)" "BC-NextCows_3" 3 "BC-NextCows"
93.0955034507074 "BC-NextCows_3" 24 "RZM (Milk)" "BC-NextCows_3" 3 "BC-NextCows"
99.8954530626157 "BC-NextCows_4" 0 "RZM (Milk)" "BC-NextCows_4" 4 "BC-NextCows"
98.8757837009142 "BC-NextCows_4" 1 "RZM (Milk)" "BC-NextCows_4" 4 "BC-NextCows"
101.69742849554 "BC-NextCows_4" 2 "RZM (Milk)" "BC-NextCows_4" 4 "BC-NextCows"
99.8653392460999 "BC-NextCows_4" 25 "RZM (Milk)" "BC-NextCows_4" 4 "BC-NextCows"
99.8386363890737 "BC-NextCows_4" 26 "RZM (Milk)" "BC-NextCows_4" 4 "BC-NextCows"
107.22925162787 "BC-NextCows_5" 3 "RZM (Milk)" "BC-NextCows_5" 5 "BC-NextCows"
107.323080663855 "BC-NextCows_5" 4 "RZM (Milk)" "BC-NextCows_5" 5 "BC-NextCows"
106.868434368838 "BC-NextCows_5" 5 "RZM (Milk)" "BC-NextCows_5" 5 "BC-NextCows"
107.596756865254 "BC-NextCows_5" 6 "RZM (Milk)" "BC-NextCows_5" 5 "BC-NextCows"
107.293432991395 "BC-NextCows_5" 7 "RZM (Milk)" "BC-NextCows_5" 5 "BC-NextCows"
111.766350657166 "BC-NextCows_6" 8 "RZM (Milk)" "BC-NextCows_6" 6 "BC-NextCows"
112.615422645485 "BC-NextCows_6" 9 "RZM (Milk)" "BC-NextCows_6" 6 "BC-NextCows"
113.60785994698 "BC-NextCows_6" 10 "RZM (Milk)" "BC-NextCows_6" 6 "BC-NextCows"
112.706603885735 "BC-NextCows_6" 11 "RZM (Milk)" "BC-NextCows_6" 6 "BC-NextCows"
113.487663445856 "BC-NextCows_6" 12 "RZM (Milk)" "BC-NextCows_6" 6 "BC-NextCows"
116.932560032739 "BC-NextCows_7" 13 "RZM (Milk)" "BC-NextCows_7" 7 "BC-NextCows"
117.824100949348 "BC-NextCows_7" 14 "RZM (Milk)" "BC-NextCows_7" 7 "BC-NextCows"
118.627573749566 "BC-NextCows_7" 15 "RZM (Milk)" "BC-NextCows_7" 7 "BC-NextCows"
117.784092824742 "BC-NextCows_7" 16 "RZM (Milk)" "BC-NextCows_7" 7 "BC-NextCows"
117.90204797337 "BC-NextCows_7" 17 "RZM (Milk)" "BC-NextCows_7" 7 "BC-NextCows"
120.962839814448 "BC-NextCows_8" 18 "RZM (Milk)" "BC-NextCows_8" 8 "BC-NextCows"
120.396009852981 "BC-NextCows_8" 19 "RZM (Milk)" "BC-NextCows_8" 8 "BC-NextCows"
122.304525443859 "BC-NextCows_8" 20 "RZM (Milk)" "BC-NextCows_8" 8 "BC-NextCows"
121.098249374343 "BC-NextCows_8" 21 "RZM (Milk)" "BC-NextCows_8" 8 "BC-NextCows"
120.994243336968 "BC-NextCows_8" 22 "RZM (Milk)" "BC-NextCows_8" 8 "BC-NextCows"
126.180596086128 "BC-NextCows_9" 0 "RZM (Milk)" "BC-NextCows_9" 9 "BC-NextCows"
127.447673939814 "BC-NextCows_9" 23 "RZM (Milk)" "BC-NextCows_9" 9 "BC-NextCows"
127.286273464366 "BC-NextCows_9" 24 "RZM (Milk)" "BC-NextCows_9" 9 "BC-NextCows"
127.401742194721 "BC-NextCows_9" 25 "RZM (Milk)" "BC-NextCows_9" 9 "BC-NextCows"
127.114308893907 "BC-NextCows_9" 26 "RZM (Milk)" "BC-NextCows_9" 9 "BC-NextCows"
131.669417475662 "BC-NextCows_10" 1 "RZM (Milk)" "BC-NextCows_10" 10 "BC-NextCows"
131.943059267081 "BC-NextCows_10" 2 "RZM (Milk)" "BC-NextCows_10" 10 "BC-NextCows"
131.666887095319 "BC-NextCows_10" 3 "RZM (Milk)" "BC-NextCows_10" 10 "BC-NextCows"
131.791079107648 "BC-NextCows_10" 4 "RZM (Milk)" "BC-NextCows_10" 10 "BC-NextCows"
132.437819453914 "BC-NextCows_10" 5 "RZM (Milk)" "BC-NextCows_10" 10 "BC-NextCows"
133.292577134211 "BC-NextCows_11" 6 "RZM (Milk)" "BC-NextCows_11" 11 "BC-NextCows"
133.480689694785 "BC-NextCows_11" 7 "RZM (Milk)" "BC-NextCows_11" 11 "BC-NextCows"
133.429598857115 "BC-NextCows_11" 8 "RZM (Milk)" "BC-NextCows_11" 11 "BC-NextCows"
133.891125826236 "BC-NextCows_11" 9 "RZM (Milk)" "BC-NextCows_11" 11 "BC-NextCows"
132.396124697356 "BC-NextCows_11" 10 "RZM (Milk)" "BC-NextCows_11" 11 "BC-NextCows"
138.638618716127 "BC-NextCows_12" 11 "RZM (Milk)" "BC-NextCows_12" 12 "BC-NextCows"
138.342306834624 "BC-NextCows_12" 12 "RZM (Milk)" "BC-NextCows_12" 12 "BC-NextCows"
138.483476260093 "BC-NextCows_12" 13 "RZM (Milk)" "BC-NextCows_12" 12 "BC-NextCows"
137.709661547498 "BC-NextCows_12" 14 "RZM (Milk)" "BC-NextCows_12" 12 "BC-NextCows"
138.602347654873 "BC-NextCows_12" 15 "RZM (Milk)" "BC-NextCows_12" 12 "BC-NextCows"
143.314351266999 "BC-NextCows_13" 16 "RZM (Milk)" "BC-NextCows_13" 13 "BC-NextCows"
143.0661821499 "BC-NextCows_13" 17 "RZM (Milk)" "BC-NextCows_13" 13 "BC-NextCows"
143.414510465802 "BC-NextCows_13" 18 "RZM (Milk)" "BC-NextCows_13" 13 "BC-NextCows"
143.975761169175 "BC-NextCows_13" 19 "RZM (Milk)" "BC-NextCows_13" 13 "BC-NextCows"
145.244955746225 "BC-NextCows_13" 20 "RZM (Milk)" "BC-NextCows_13" 13 "BC-NextCows"
150.123626813363 "BC-NextCows_14" 21 "RZM (Milk)" "BC-NextCows_14" 14 "BC-NextCows"
149.233377316995 "BC-NextCows_14" 22 "RZM (Milk)" "BC-NextCows_14" 14 "BC-NextCows"
148.377978627785 "BC-NextCows_14" 23 "RZM (Milk)" "BC-NextCows_14" 14 "BC-NextCows"
148.67203047558 "BC-NextCows_14" 24 "RZM (Milk)" "BC-NextCows_14" 14 "BC-NextCows"
147.939710008184 "BC-NextCows_14" 25 "RZM (Milk)" "BC-NextCows_14" 14 "BC-NextCows"
153.555179829341 "BC-NextCows_15" 0 "RZM (Milk)" "BC-NextCows_15" 15 "BC-NextCows"
153.638368844057 "BC-NextCows_15" 1 "RZM (Milk)" "BC-NextCows_15" 15 "BC-NextCows"
152.146280936468 "BC-NextCows_15" 2 "RZM (Milk)" "BC-NextCows_15" 15 "BC-NextCows"
153.603944392665 "BC-NextCows_15" 3 "RZM (Milk)" "BC-NextCows_15" 15 "BC-NextCows"
153.91633871875 "BC-NextCows_15" 26 "RZM (Milk)" "BC-NextCows_15" 15 "BC-NextCows"
157.903653337188 "BC-NextCows_16" 4 "RZM (Milk)" "BC-NextCows_16" 16 "BC-NextCows"
158.122039090973 "BC-NextCows_16" 5 "RZM (Milk)" "BC-NextCows_16" 16 "BC-NextCows"
158.157459038982 "BC-NextCows_16" 6 "RZM (Milk)" "BC-NextCows_16" 16 "BC-NextCows"
157.597209919657 "BC-NextCows_16" 7 "RZM (Milk)" "BC-NextCows_16" 16 "BC-NextCows"
159.219713517012 "BC-NextCows_16" 8 "RZM (Milk)" "BC-NextCows_16" 16 "BC-NextCows"
161.721089715358 "BC-NextCows_17" 9 "RZM (Milk)" "BC-NextCows_17" 17 "BC-NextCows"
162.124999187262 "BC-NextCows_17" 10 "RZM (Milk)" "BC-NextCows_17" 17 "BC-NextCows"
161.564793031828 "BC-NextCows_17" 11 "RZM (Milk)" "BC-NextCows_17" 17 "BC-NextCows"
162.408436792774 "BC-NextCows_17" 12 "RZM (Milk)" "BC-NextCows_17" 17 "BC-NextCows"
