"AverageBV" "Cohorts" "TimeP" "Traits" "Cohort_Rept" "Cohort_Rept_ID" "Cohort_Rept_Com"
102.764923625438 "BC-Bulls" 0 "RZR (fertility)" "BC-Bulls" 0 "BC-Bulls"
102.712366733609 "BC-Cows" 0 "RZR (fertility)" "BC-Cows" 0 "BC-Cows"
102.238803916013 "BC-Cows" 1 "RZR (fertility)" "BC-Cows" 0 "BC-Cows"
102.327305740853 "BC-Cows" 2 "RZR (fertility)" "BC-Cows" 0 "BC-Cows"
102.315568063267 "BC-Cows" 3 "RZR (fertility)" "BC-Cows" 0 "BC-Cows"
102.342765547899 "BC-Cows" 4 "RZR (fertility)" "BC-Cows" 0 "BC-Cows"
102.437537381147 "BC-NextBulls" 9 "RZR (fertility)" "BC-NextBulls" 0 "BC-NextBulls"
101.692735290247 "BC-NextBulls_1" 14 "RZR (fertility)" "BC-NextBulls_1" 1 "BC-NextBulls"
99.5327593257077 "BC-NextBulls_2" 19 "RZR (fertility)" "BC-NextBulls_2" 2 "BC-NextBulls"
98.7412536872395 "BC-NextBulls_3" 24 "RZR (fertility)" "BC-NextBulls_3" 3 "BC-NextBulls"
99.5250982562133 "BC-NextBulls_4" 2 "RZR (fertility)" "BC-NextBulls_4" 4 "BC-NextBulls"
100.004305984133 "BC-NextBulls_5" 7 "RZR (fertility)" "BC-NextBulls_5" 5 "BC-NextBulls"
99.4120003148873 "BC-NextBulls_6" 12 "RZR (fertility)" "BC-NextBulls_6" 6 "BC-NextBulls"
101.9409326955 "BC-NextBulls_7" 17 "RZR (fertility)" "BC-NextBulls_7" 7 "BC-NextBulls"
102.860853282109 "BC-NextBulls_8" 22 "RZR (fertility)" "BC-NextBulls_8" 8 "BC-NextBulls"
101.332029273618 "BC-NextBulls_9" 0 "RZR (fertility)" "BC-NextBulls_9" 9 "BC-NextBulls"
101.221519486452 "BC-NextBulls_10" 5 "RZR (fertility)" "BC-NextBulls_10" 10 "BC-NextBulls"
102.130145733467 "BC-NextBulls_11" 10 "RZR (fertility)" "BC-NextBulls_11" 11 "BC-NextBulls"
103.095946489647 "BC-NextBulls_12" 15 "RZR (fertility)" "BC-NextBulls_12" 12 "BC-NextBulls"
103.579056167072 "BC-NextBulls_13" 20 "RZR (fertility)" "BC-NextBulls_13" 13 "BC-NextBulls"
