"AverageBV" "Cohorts" "TimeP" "Traits" "Cohort_Rept" "Cohort_Rept_ID" "Cohort_Rept_Com"
95.2923368901785 "BC-Bulls" 0 "RZS (somatic cell)" "BC-Bulls" 0 "BC-Bulls"
93.5615161735818 "BC-Cows" 0 "RZS (somatic cell)" "BC-Cows" 0 "BC-Cows"
95.3391129861041 "BC-Cows" 1 "RZS (somatic cell)" "BC-Cows" 0 "BC-Cows"
96.2711201093895 "BC-Cows" 2 "RZS (somatic cell)" "BC-Cows" 0 "BC-Cows"
96.1847024074601 "BC-Cows" 3 "RZS (somatic cell)" "BC-Cows" 0 "BC-Cows"
94.9537017730264 "BC-Cows" 4 "RZS (somatic cell)" "BC-Cows" 0 "BC-Cows"
95.6210195457285 "BC-NextBulls" 9 "RZS (somatic cell)" "BC-NextBulls" 0 "BC-NextBulls"
95.2142702812792 "BC-NextBulls_1" 14 "RZS (somatic cell)" "BC-NextBulls_1" 1 "BC-NextBulls"
97.9083565241413 "BC-NextBulls_2" 19 "RZS (somatic cell)" "BC-NextBulls_2" 2 "BC-NextBulls"
99.3293318971143 "BC-NextBulls_3" 24 "RZS (somatic cell)" "BC-NextBulls_3" 3 "BC-NextBulls"
99.6762031896244 "BC-NextBulls_4" 2 "RZS (somatic cell)" "BC-NextBulls_4" 4 "BC-NextBulls"
98.4894455512507 "BC-NextBulls_5" 7 "RZS (somatic cell)" "BC-NextBulls_5" 5 "BC-NextBulls"
99.1235611693845 "BC-NextBulls_6" 12 "RZS (somatic cell)" "BC-NextBulls_6" 6 "BC-NextBulls"
98.8465899210163 "BC-NextBulls_7" 17 "RZS (somatic cell)" "BC-NextBulls_7" 7 "BC-NextBulls"
97.9221946724891 "BC-NextBulls_8" 22 "RZS (somatic cell)" "BC-NextBulls_8" 8 "BC-NextBulls"
99.5903011146976 "BC-NextBulls_9" 0 "RZS (somatic cell)" "BC-NextBulls_9" 9 "BC-NextBulls"
100.371025304251 "BC-NextBulls_10" 5 "RZS (somatic cell)" "BC-NextBulls_10" 10 "BC-NextBulls"
105.456164171379 "BC-NextBulls_11" 10 "RZS (somatic cell)" "BC-NextBulls_11" 11 "BC-NextBulls"
105.055799357746 "BC-NextBulls_12" 15 "RZS (somatic cell)" "BC-NextBulls_12" 12 "BC-NextBulls"
105.536273914346 "BC-NextBulls_13" 20 "RZS (somatic cell)" "BC-NextBulls_13" 13 "BC-NextBulls"
103.611009721975 "BC-NextBulls_14" 25 "RZS (somatic cell)" "BC-NextBulls_14" 14 "BC-NextBulls"
106.283677779231 "BC-NextBulls_15" 3 "RZS (somatic cell)" "BC-NextBulls_15" 15 "BC-NextBulls"
106.714990397838 "BC-NextBulls_16" 8 "RZS (somatic cell)" "BC-NextBulls_16" 16 "BC-NextBulls"
105.190891488948 "BC-NextBulls_17" 13 "RZS (somatic cell)" "BC-NextBulls_17" 17 "BC-NextBulls"
106.171840206893 "BC-NextBulls_18" 18 "RZS (somatic cell)" "BC-NextBulls_18" 18 "BC-NextBulls"
106.240994118368 "BC-NextBulls_19" 23 "RZS (somatic cell)" "BC-NextBulls_19" 19 "BC-NextBulls"
106.879127757504 "BC-NextBulls_20" 1 "RZS (somatic cell)" "BC-NextBulls_20" 20 "BC-NextBulls"
107.035408414889 "BC-NextBulls_21" 6 "RZS (somatic cell)" "BC-NextBulls_21" 21 "BC-NextBulls"
106.416084007536 "BC-NextBulls_22" 11 "RZS (somatic cell)" "BC-NextBulls_22" 22 "BC-NextBulls"
106.884243251692 "BC-NextBulls_23" 16 "RZS (somatic cell)" "BC-NextBulls_23" 23 "BC-NextBulls"
106.806215737613 "BC-NextBulls_24" 21 "RZS (somatic cell)" "BC-NextBulls_24" 24 "BC-NextBulls"
107.551513626232 "BC-NextBulls_25" 26 "RZS (somatic cell)" "BC-NextBulls_25" 25 "BC-NextBulls"
96.3825056085266 "BC-NextCows" 5 "RZS (somatic cell)" "BC-NextCows" 0 "BC-NextCows"
95.2182547964935 "BC-NextCows" 6 "RZS (somatic cell)" "BC-NextCows" 0 "BC-NextCows"
97.1014958582739 "BC-NextCows" 7 "RZS (somatic cell)" "BC-NextCows" 0 "BC-NextCows"
97.0157267949061 "BC-NextCows" 8 "RZS (somatic cell)" "BC-NextCows" 0 "BC-NextCows"
96.2958684411154 "BC-NextCows" 9 "RZS (somatic cell)" "BC-NextCows" 0 "BC-NextCows"
95.3084825377581 "BC-NextCows_1" 10 "RZS (somatic cell)" "BC-NextCows_1" 1 "BC-NextCows"
95.7955723307917 "BC-NextCows_1" 11 "RZS (somatic cell)" "BC-NextCows_1" 1 "BC-NextCows"
95.9326567192326 "BC-NextCows_1" 12 "RZS (somatic cell)" "BC-NextCows_1" 1 "BC-NextCows"
97.0620848249351 "BC-NextCows_1" 13 "RZS (somatic cell)" "BC-NextCows_1" 1 "BC-NextCows"
94.7721087656777 "BC-NextCows_1" 14 "RZS (somatic cell)" "BC-NextCows_1" 1 "BC-NextCows"
97.1927009625221 "BC-NextCows_2" 15 "RZS (somatic cell)" "BC-NextCows_2" 2 "BC-NextCows"
98.1912433757946 "BC-NextCows_2" 16 "RZS (somatic cell)" "BC-NextCows_2" 2 "BC-NextCows"
97.9798545130438 "BC-NextCows_2" 17 "RZS (somatic cell)" "BC-NextCows_2" 2 "BC-NextCows"
98.7679591101167 "BC-NextCows_2" 18 "RZS (somatic cell)" "BC-NextCows_2" 2 "BC-NextCows"
98.7008844070409 "BC-NextCows_2" 19 "RZS (somatic cell)" "BC-NextCows_2" 2 "BC-NextCows"
98.8324981782418 "BC-NextCows_3" 20 "RZS (somatic cell)" "BC-NextCows_3" 3 "BC-NextCows"
98.7686086017714 "BC-NextCows_3" 21 "RZS (somatic cell)" "BC-NextCows_3" 3 "BC-NextCows"
98.7047691348303 "BC-NextCows_3" 22 "RZS (somatic cell)" "BC-NextCows_3" 3 "BC-NextCows"
98.1900566210048 "BC-NextCows_3" 23 "RZS (somatic cell)" "BC-NextCows_3" 3 "BC-NextCows"
98.7691889758315 "BC-NextCows_3" 24 "RZS (somatic cell)" "BC-NextCows_3" 3 "BC-NextCows"
100.426587208865 "BC-NextCows_4" 0 "RZS (somatic cell)" "BC-NextCows_4" 4 "BC-NextCows"
100.252450733115 "BC-NextCows_4" 1 "RZS (somatic cell)" "BC-NextCows_4" 4 "BC-NextCows"
